left,right
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
1513,1590
1313,1569
1008,1103
1042,1198
1158,1192
1196,1157
1064,1175
885,862
901,611
923,743
868,991
839,927
765,859
782,892
841,902
726,851
912,876
918,877
826,822
880,842
916,900
852,804
880,867
851,879
932,848
817,823
951,892
1084,791
1307,830
1454,1105
1196,945
1646,939
1542,1036
1255,867
921,1033
884,1032
546,629
568,386
787,617
1516,1372
937,1497
779,862
855,854
810,977
778,802
961,868
838,928
874,946
909,814
1038,857
988,863
925,790
786,874
931,940
832,788
781,888
860,945
861,855
865,939
850,857
801,848
861,862
844,804
925,857
921,903
995,834
912,865
877,929
806,918
729,864
862,937
803,882
813,862
904,898
857,881
788,850
923,925
922,892
959,872
900,918
849,897
760,917
459,569
418,519
382,564
506,609
278,424
78,4
54,17
4,11
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
