left,right
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
1484,1473
1472,1566
1235,1202
1142,1136
1083,1238
1221,1200
1185,1211
933,978
737,636
1054,1009
924,991
867,899
819,915
775,868
837,914
901,944
777,870
788,1012
851,938
994,879
892,890
975,921
815,876
825,923
893,931
810,874
831,878
866,935
859,910
871,894
768,932
902,887
907,895
950,902
968,926
970,962
874,901
774,1524
1182,1315
1104,1595
1043,1275
961,1644
1073,1533
1135,873
1001,814
543,578
634,448
1009,610
1382,1327
1038,1427
864,830
899,931
831,880
766,891
910,970
802,855
809,939
910,985
765,847
870,925
919,919
901,878
945,913
968,921
884,913
867,917
824,931
802,847
868,925
913,931
827,895
848,980
846,968
847,878
1002,926
969,953
1004,971
940,919
905,968
903,928
848,959
798,888
826,904
851,958
659,775
469,515
422,487
385,493
329,570
4,4
67,7
67,20
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
