left,right
4,4
4,4
4,4
4,4
4,4
4,4
4,4
1548,1500
1514,1506
1352,1084
1219,1017
1143,1093
1169,1189
1225,1125
862,891
583,627
821,664
1016,1147
905,824
830,881
870,879
820,846
961,921
881,862
976,896
811,865
943,868
885,852
844,866
823,861
804,826
753,758
800,912
747,864
752,811
876,905
847,828
894,823
871,891
860,894
805,783
830,895
742,818
780,834
834,841
811,929
832,918
860,919
875,884
980,979
887,833
897,849
954,995
827,715
894,938
810,905
683,842
959,903
781,891
743,766
836,909
1178,841
1580,1405
1601,1646
1512,1024
1218,873
1557,1645
1138,1191
1305,1646
1520,1646
1643,1643
937,793
548,1510
409,1002
694,585
1001,553
971,677
1059,1241
1277,1455
913,1006
935,896
945,880
868,841
888,886
837,893
756,810
776,928
756,875
805,901
796,888
805,898
868,891
951,927
888,899
980,861
905,866
933,860
844,916
801,893
805,818
860,921
817,858
848,906
739,881
781,861
858,872
922,849
913,911
843,846
890,865
815,882
827,909
812,879
963,806
892,941
843,906
827,924
839,871
869,923
906,873
791,816
566,638
473,506
568,477
455,461
4,4
4,123
4,7
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
